Romans 1:1	Paul, a servant of Jesus Christ, called to be an apostle, set apart for the Good News of God,
2 Thessalonians 1:3	We are bound to always give thanks to God for you, brothers, even as it is appropriate, because your faith grows exceedingly, and the love of each and every one of you towards one another abounds;
2 Thessalonians 1:4	so that we ourselves boast about you in the assemblies of God for your patience and faith in all your persecutions and in the afflictions which you endure.
2 Thessalonians 1:5	This is an obvious sign of the righteous judgment of God, to the end that you may be counted worthy of the Kingdom of God, for which you also suffer.
2 Thessalonians 1:6	Since it is a righteous thing with God to repay affliction to those who afflict you,
2 Thessalonians 1:7	and to give relief to you who are afflicted with us, when the Lord Jesus is revealed from heaven with his mighty angels in flaming fire,
2 Thessalonians 1:8	giving vengeance to those who don’t know God, and to those who don’t obey the Good News of our Lord Jesus,
2 Thessalonians 1:9	who will pay the penalty: eternal destruction from the face of the Lord and from the glory of his might,
2 Thessalonians 1:10	when he comes to be glorified in his saints, and to be admired among all those who have believed (because our testimony to you was believed) in that day.
2 Thessalonians 1:11	To this end we also pray always for you, that our God may count you worthy of your calling, and fulfill every desire of goodness and work of faith, with power;
2 Thessalonians 1:12	that the name of our Lord Jesus may be glorified in you, and you in him, according to the grace of our God and the Lord Jesus Christ.
2 Thessalonians 2:1	Now, brothers, concerning the coming of our Lord Jesus Christ, and our gathering together to him, we ask you
2 Thessalonians 2:2	not to be quickly shaken in your mind, nor yet be troubled, either by spirit, or by word, or by letter as from us, saying that the day of Christ had come.
2 Thessalonians 2:3	Let no one deceive you in any way. For it will not be, unless the departure comes first, and the man of sin is revealed, the son of destruction,
2 Thessalonians 2:4	he who opposes and exalts himself against all that is called God or that is worshiped; so that he sits as God in the temple of God, setting himself up as God.
2 Thessalonians 2:5	Don’t you remember that, when I was still with you, I told you these things?
2 Thessalonians 2:6	Now you know what is restraining him, to the end that he may be revealed in his own season.
2 Thessalonians 2:7	For the mystery of lawlessness already works. Only there is one who restrains now, until he is taken out of the way.
2 Thessalonians 2:8	Then the lawless one will be revealed, whom the Lord will kill with the breath of his mouth, and destroy by the manifestation of his coming;
2 Thessalonians 2:9	even he whose coming is according to the working of Satan with all power and signs and lying wonders,
2 Thessalonians 2:10	and with all deception of wickedness for those who are being lost, because they didn’t receive the love of the truth, that they might be saved.
2 Thessalonians 2:11	Because of this, God sends them a working of error, that they should believe a lie;
2 Thessalonians 2:12	that they all might be judged who didn’t believe the truth, but had pleasure in unrighteousness.
2 Thessalonians 2:13	But we are bound to always give thanks to God for you, brothers loved by the Lord, because God chose you from the beginning for salvation through sanctification of the Spirit and belief in the truth;
2 Thessalonians 2:14	to which he called you through our Good News, for the obtaining of the glory of our Lord Jesus Christ.
2 Thessalonians 2:15	So then, brothers, stand firm, and hold the traditions which you were taught by us, whether by word, or by letter.
2 Thessalonians 2:16	Now our Lord Jesus Christ himself, and God our Father, who loved us and gave us eternal comfort and good hope through grace,
2 Thessalonians 2:17	comfort your hearts and establish you in every good work and word.
2 Thessalonians 3:1	Finally, brothers, pray for us, that the word of the Lord may spread rapidly and be glorified, even as also with you;
2 Thessalonians 3:2	and that we may be delivered from unreasonable and evil men; for not all have faith.
2 Thessalonians 3:3	But the Lord is faithful, who will establish you, and guard you from the evil one.
2 Thessalonians 3:4	We have confidence in the Lord concerning you, that you both do and will do the things we command.
2 Thessalonians 3:5	May the Lord direct your hearts into the love of God, and into the patience of Christ.
2 Thessalonians 3:6	Now we command you, brothers, in the name of our Lord Jesus Christ, that you withdraw yourselves from every brother who walks in rebellion, and not after the tradition which they received from us.
2 Thessalonians 3:7	For you know how you ought to imitate us. For we didn’t behave ourselves rebelliously among you,
2 Thessalonians 3:8	neither did we eat bread from anyone’s hand without paying for it, but in labor and travail worked night and day, that we might not burden any of you;
2 Thessalonians 3:9	not because we don’t have the right, but to make ourselves an example to you, that you should imitate us.
2 Thessalonians 3:10	For even when we were with you, we commanded you this: “If anyone will not work, neither let him eat.”
2 Thessalonians 3:11	For we hear of some who walk among you in rebellion, who don’t work at all, but are busybodies.
2 Thessalonians 3:12	Now those who are that way, we command and exhort in the Lord Jesus Christ, that with quietness they work, and eat their own bread.
2 Thessalonians 3:13	But you, brothers, don’t be weary in doing well.
2 Thessalonians 3:14	If any man doesn’t obey our word in this letter, note that man, that you have no company with him, to the end that he may be ashamed.
2 Thessalonians 3:15	Don’t count him as an enemy, but admonish him as a brother.
2 Thessalonians 3:16	Now may the Lord of peace himself give you peace at all times in all ways. The Lord be with you all.
2 Thessalonians 3:17	The greeting of me, Paul, with my own hand, which is the sign in every letter: this is how I write.
2 Thessalonians 3:18	The grace of our Lord Jesus Christ be with you all. Amen.
1 Timothy 1:1	Paul, an apostle of Christ Jesus according to the commandment of God our Savior, and Christ Jesus our hope;
1 Timothy 1:2	to Timothy, my true child in faith: Grace, mercy, and peace, from God our Father and Christ Jesus our Lord.
1 Timothy 1:3	As I urged you when I was going into Macedonia, stay at Ephesus that you might command certain men not to teach a different doctrine,
1 Timothy 1:4	neither to pay attention to myths and endless genealogies, which cause disputes, rather than God’s stewardship, which is in faith—
1 Timothy 1:5	but the goal of this command is love, out of a pure heart and a good conscience and sincere faith;
1 Timothy 1:6	from which things some, having missed the mark, have turned aside to vain talking;
1 Timothy 1:7	desiring to be teachers of the law, though they understand neither what they say, nor about what they strongly affirm.
1 Timothy 1:8	But we know that the law is good, if a man uses it lawfully,
1 Timothy 1:9	as knowing this, that law is not made for a righteous man, but for the lawless and insubordinate, for the ungodly and sinners, for the unholy and profane, for murderers of fathers and murderers of mothers, for manslayers,
1 Timothy 1:10	for the sexually immoral, for homosexuals, for slave-traders, for liars, for perjurers, and for any other thing contrary to the sound doctrine;
1 Timothy 1:11	according to the Good News of the glory of the blessed God, which was committed to my trust.
1 Timothy 1:12	And I thank him who enabled me, Christ Jesus our Lord, because he counted me faithful, appointing me to service;
1 Timothy 1:13	although I was before a blasphemer, a persecutor, and insolent. However, I obtained mercy, because I did it ignorantly in unbelief.
1 Timothy 1:14	The grace of our Lord abounded exceedingly with faith and love which is in Christ Jesus.
1 Timothy 1:15	The saying is faithful and worthy of all acceptance, that Christ Jesus came into the world to save sinners; of whom I am chief.
1 Timothy 1:16	However, for this cause I obtained mercy, that in me first, Jesus Christ might display all his patience, for an example of those who were going to believe in him for eternal life.
1 Timothy 1:17	Now to the King eternal, immortal, invisible, to God who alone is wise, be honor and glory forever and ever. Amen.
1 Timothy 1:18	This instruction I commit to you, my child Timothy, according to the prophecies which led the way to you, that by them you may wage the good warfare;
1 Timothy 1:19	holding faith and a good conscience; which some having thrust away made a shipwreck concerning the faith;
1 Timothy 1:20	of whom is Hymenaeus and Alexander; whom I delivered to Satan, that they might be taught not to blaspheme.
1 Timothy 2:1	I exhort therefore, first of all, that petitions, prayers, intercessions, and givings of thanks, be made for all men:
1 Timothy 2:2	for kings and all who are in high places; that we may lead a tranquil and quiet life in all godliness and reverence.
1 Timothy 2:3	For this is good and acceptable in the sight of God our Savior;
1 Timothy 2:4	who desires all people to be saved and come to full knowledge of the truth.
1 Timothy 2:5	For there is one God, and one mediator between God and men, the man Christ Jesus,
1 Timothy 2:6	who gave himself as a ransom for all; the testimony in its own times;
1 Timothy 2:7	to which I was appointed a preacher and an apostle (I am telling the truth in Christ, not lying), a teacher of the Gentiles in faith and truth.
1 Timothy 2:8	I desire therefore that the men in every place pray, lifting up holy hands without anger and doubting.
1 Timothy 2:9	In the same way, that women also adorn themselves in decent clothing, with modesty and propriety; not just with braided hair, gold, pearls, or expensive clothing;
1 Timothy 2:10	but (which becomes women professing godliness) with good works.
1 Timothy 2:11	Let a woman learn in quietness with all subjection.
1 Timothy 2:12	But I don’t permit a woman to teach, nor to exercise authority over a man, but to be in quietness.
1 Timothy 2:13	For Adam was first formed, then Eve.
1 Timothy 2:14	Adam wasn’t deceived, but the woman, being deceived, has fallen into disobedience;
1 Timothy 2:15	but she will be saved through her childbearing, if they continue in faith, love, and sanctification with sobriety.
1 Timothy 3:1	This is a faithful saying: if a man seeks the office of an overseer, he desires a good work.
1 Timothy 3:2	The overseer therefore must be without reproach, the husband of one wife, temperate, sensible, modest, hospitable, good at teaching;
1 Timothy 3:3	not a drinker, not violent, not greedy for money, but gentle, not quarrelsome, not covetous;
1 Timothy 3:4	one who rules his own house well, having children in subjection with all reverence;
1 Timothy 3:5	(but if a man doesn’t know how to rule his own house, how will he take care of the assembly of God?)
1 Timothy 3:6	not a new convert, lest being puffed up he fall into the same condemnation as the devil.
1 Timothy 3:7	Moreover he must have good testimony from those who are outside, to avoid falling into reproach and the snare of the devil.
1 Timothy 3:8	Servants, in the same way, must be reverent, not double-tongued, not addicted to much wine, not greedy for money;
1 Timothy 3:9	holding the mystery of the faith in a pure conscience.
1 Timothy 3:10	Let them also first be tested; then let them serve if they are blameless.
1 Timothy 3:11	Their wives in the same way must be reverent, not slanderers, temperate, faithful in all things.
1 Timothy 3:12	Let servants be husbands of one wife, ruling their children and their own houses well.
1 Timothy 3:13	For those who have served well gain for themselves a good standing, and great boldness in the faith which is in Christ Jesus.
1 Timothy 3:14	These things I write to you, hoping to come to you shortly;
1 Timothy 3:15	but if I wait long, that you may know how men ought to behave themselves in the house of God, which is the assembly of the living God, the pillar and ground of the truth.
1 Timothy 3:16	Without controversy, the mystery of godliness is great: God was revealed in the flesh, justified in the spirit, seen by angels, preached among the nations, believed on in the world, and received up in glory.
1 Timothy 4:1	But the Spirit says expressly that in later times some will fall away from the faith, paying attention to seducing spirits and doctrines of demons,
1 Timothy 4:2	through the hypocrisy of men who speak lies, branded in their own conscience as with a hot iron;
1 Timothy 4:3	forbidding marriage and commanding to abstain from foods which God created to be received with thanksgiving by those who believe and know the truth.
1 Timothy 4:4	For every creature of God is good, and nothing is to be rejected, if it is received with thanksgiving.
1 Timothy 4:5	For it is sanctified through the word of God and prayer.
1 Timothy 4:6	If you instruct the brothers of these things, you will be a good servant of Christ Jesus, nourished in the words of the faith, and of the good doctrine which you have followed.
1 Timothy 4:7	But refuse profane and old wives’ fables. Exercise yourself toward godliness.
1 Timothy 4:8	For bodily exercise has some value, but godliness has value in all things, having the promise of the life which is now, and of that which is to come.
1 Timothy 4:9	This saying is faithful and worthy of all acceptance.
1 Timothy 4:10	For to this end we both labor and suffer reproach, because we have set our trust in the living God, who is the Savior of all men, especially of those who believe.
1 Timothy 4:11	Command and teach these things.
1 Timothy 4:12	Let no man despise your youth; but be an example to those who believe, in word, in your way of life, in love, in spirit, in faith, and in purity.
1 Timothy 4:13	Until I come, pay attention to reading, to exhortation, and to teaching.
1 Timothy 4:14	Don’t neglect the gift that is in you, which was given to you by prophecy, with the laying on of the hands of the elders.
1 Timothy 4:15	Be diligent in these things. Give yourself wholly to them, that your progress may be revealed to all.
1 Timothy 4:16	Pay attention to yourself, and to your teaching. Continue in these things, for in doing this you will save both yourself and those who hear you.
1 Timothy 5:1	Don’t rebuke an older man, but exhort him as a father; the younger men as brothers;
1 Timothy 5:2	the elder women as mothers; the younger as sisters, in all purity.
1 Timothy 5:3	Honor widows who are widows indeed.
1 Timothy 5:4	But if any widow has children or grandchildren, let them learn first to show piety towards their own family, and to repay their parents, for this is acceptable in the sight of God.
1 Timothy 5:5	Now she who is a widow indeed, and desolate, has her hope set on God, and continues in petitions and prayers night and day.
1 Timothy 5:6	But she who gives herself to pleasure is dead while she lives.
1 Timothy 5:7	Also command these things, that they may be without reproach.
1 Timothy 5:8	But if anyone doesn’t provide for his own, and especially his own household, he has denied the faith, and is worse than an unbeliever.
1 Timothy 5:9	Let no one be enrolled as a widow under sixty years old, having been the wife of one man,
1 Timothy 5:10	being approved by good works, if she has brought up children, if she has been hospitable to strangers, if she has washed the saints’ feet, if she has relieved the afflicted, and if she has diligently followed every good work.
1 Timothy 5:11	But refuse younger widows, for when they have grown wanton against Christ, they desire to marry;
1 Timothy 5:12	having condemnation, because they have rejected their first pledge.
1 Timothy 5:13	Besides, they also learn to be idle, going about from house to house. Not only idle, but also gossips and busybodies, saying things which they ought not.
1 Timothy 5:14	I desire therefore that the younger widows marry, bear children, rule the household, and give no occasion to the adversary for insulting.
1 Timothy 5:15	For already some have turned aside after Satan.
1 Timothy 5:16	If any man or woman who believes has widows, let them relieve them, and don’t let the assembly be burdened; that it might relieve those who are widows indeed.
1 Timothy 5:17	Let the elders who rule well be counted worthy of double honor, especially those who labor in the word and in teaching.
1 Timothy 5:18	For the Scripture says, “You shall not muzzle the ox when it treads out the grain.” And, “The laborer is worthy of his wages.”
1 Timothy 5:19	Don’t receive an accusation against an elder, except at the word of two or three witnesses.
1 Timothy 5:20	Those who sin, reprove in the sight of all, that the rest also may be in fear.
1 Timothy 5:21	I command you in the sight of God, and Christ Jesus, and the chosen angels, that you observe these things without prejudice, doing nothing by partiality.
1 Timothy 5:22	Lay hands hastily on no one, neither be a participant in other men’s sins. Keep yourself pure.
1 Timothy 5:23	Be no longer a drinker of water only, but use a little wine for your stomach’s sake and your frequent infirmities.
1 Timothy 5:24	Some men’s sins are evident, preceding them to judgment, and some also follow later.
1 Timothy 5:25	In the same way also there are good works that are obvious, and those that are otherwise can’t be hidden.
1 Timothy 6:1	Let as many as are bondservants under the yoke count their own masters worthy of all honor, that the name of God and the doctrine not be blasphemed.
1 Timothy 6:2	Those who have believing masters, let them not despise them, because they are brothers, but rather let them serve them, because those who partake of the benefit are believing and beloved. Teach and exhort these things.
1 Timothy 6:3	If anyone teaches a different doctrine, and doesn’t consent to sound words, the words of our Lord Jesus Christ, and to the doctrine which is according to godliness,
1 Timothy 6:4	he is conceited, knowing nothing, but obsessed with arguments, disputes, and word battles, from which come envy, strife, insulting, evil suspicions,
1 Timothy 6:5	constant friction of people of corrupt minds and destitute of the truth, who suppose that godliness is a means of gain. Withdraw yourself from such.
1 Timothy 6:6	But godliness with contentment is great gain.
1 Timothy 6:7	For we brought nothing into the world, and we certainly can’t carry anything out.
1 Timothy 6:8	But having food and clothing, we will be content with that.
1 Timothy 6:9	But those who are determined to be rich fall into a temptation and a snare and many foolish and harmful lusts, such as drown men in ruin and destruction.
1 Timothy 6:10	For the love of money is a root of all kinds of evil. Some have been led astray from the faith in their greed, and have pierced themselves through with many sorrows.
1 Timothy 6:11	But you, man of God, flee these things, and follow after righteousness, godliness, faith, love, patience, and gentleness.
1 Timothy 6:12	Fight the good fight of faith. Lay hold of the eternal life to which you were called, and you confessed the good confession in the sight of many witnesses.
1 Timothy 6:13	I command you before God, who gives life to all things, and before Christ Jesus, who before Pontius Pilate testified the good confession,
1 Timothy 6:14	that you keep the commandment without spot, blameless, until the appearing of our Lord Jesus Christ;
1 Timothy 6:15	which in its own times he will show, who is the blessed and only Ruler, the King of kings, and Lord of lords;
1 Timothy 6:16	who alone has immortality, dwelling in unapproachable light; whom no man has seen, nor can see: to whom be honor and eternal power. Amen.
1 Timothy 6:17	Charge those who are rich in this present world that they not be haughty, nor have their hope set on the uncertainty of riches, but on the living God, who richly provides us with everything to enjoy;
1 Timothy 6:18	that they do good, that they be rich in good works, that they be ready to distribute, willing to communicate;
1 Timothy 6:19	laying up in store for themselves a good foundation against the time to come, that they may lay hold of eternal life.
1 Timothy 6:20	Timothy, guard that which is committed to you, turning away from the empty chatter and oppositions of the knowledge which is falsely so called;
1 Timothy 6:21	which some professing have erred concerning the faith. Grace be with you. Amen.
2 Timothy 1:1	Paul, an apostle of Jesus Christ through the will of God, according to the promise of the life which is in Christ Jesus,
2 Timothy 1:2	to Timothy, my beloved child: Grace, mercy, and peace, from God the Father and Christ Jesus our Lord.
2 Timothy 1:3	I thank God, whom I serve as my forefathers did, with a pure conscience. How unceasing is my memory of you in my petitions, night and day
2 Timothy 1:4	longing to see you, remembering your tears, that I may be filled with joy;
2 Timothy 1:5	having been reminded of the sincere faith that is in you; which lived first in your grandmother Lois, and your mother Eunice, and, I am persuaded, in you also.
2 Timothy 1:6	For this cause, I remind you that you should stir up the gift of God which is in you through the laying on of my hands.
2 Timothy 1:7	For God didn’t give us a spirit of fear, but of power, love, and self-control.
2 Timothy 1:8	Therefore don’t be ashamed of the testimony of our Lord, nor of me his prisoner; but endure hardship for the Good News according to the power of God,
2 Timothy 1:9	who saved us and called us with a holy calling, not according to our works, but according to his own purpose and grace, which was given to us in Christ Jesus before times eternal,
2 Timothy 1:10	but has now been revealed by the appearing of our Savior, Christ Jesus, who abolished death, and brought life and immortality to light through the Good News.
2 Timothy 1:11	For this, I was appointed as a preacher, an apostle, and a teacher of the Gentiles.
2 Timothy 1:12	For this cause I also suffer these things. Yet I am not ashamed, for I know him whom I have believed, and I am persuaded that he is able to guard that which I have committed to him against that day.
2 Timothy 1:13	Hold the pattern of sound words which you have heard from me, in faith and love which is in Christ Jesus.
2 Timothy 1:14	That good thing which was committed to you, guard through the Holy Spirit who dwells in us.
2 Timothy 1:15	This you know, that all who are in Asia turned away from me; of whom are Phygelus and Hermogenes.
2 Timothy 1:16	May the Lord grant mercy to the house of Onesiphorus, for he often refreshed me, and was not ashamed of my chain,
2 Timothy 1:17	but when he was in Rome, he sought me diligently, and found me
2 Timothy 1:18	(the Lord grant to him to find the Lord’s mercy in that day); and in how many things he served at Ephesus, you know very well.
2 Timothy 2:1	You therefore, my child, be strengthened in the grace that is in Christ Jesus.
2 Timothy 2:2	The things which you have heard from me among many witnesses, commit the same to faithful men, who will be able to teach others also.
2 Timothy 2:3	You therefore must endure hardship, as a good soldier of Christ Jesus.
2 Timothy 2:4	No soldier on duty entangles himself in the affairs of life, that he may please him who enrolled him as a soldier.
2 Timothy 2:5	Also, if anyone competes in athletics, he isn’t crowned unless he has competed by the rules.
2 Timothy 2:6	The farmers who labor must be the first to get a share of the crops.
2 Timothy 2:7	Consider what I say, and may the Lord give you understanding in all things.
2 Timothy 2:8	Remember Jesus Christ, risen from the dead, of the seed of David, according to my Good News,
2 Timothy 2:9	in which I suffer hardship to the point of chains as a criminal. But God’s word isn’t chained.
2 Timothy 2:10	Therefore I endure all things for the chosen ones’ sake, that they also may obtain the salvation which is in Christ Jesus with eternal glory.
2 Timothy 2:11	This saying is faithful: “For if we died with him, we will also live with him.
2 Timothy 2:12	If we endure, we will also reign with him. If we deny him, he also will deny us.
2 Timothy 2:13	If we are faithless, he remains faithful. He can’t deny himself.”
2 Timothy 2:14	Remind them of these things, charging them in the sight of the Lord, that they don’t argue about words, to no profit, to the subverting of those who hear.
2 Timothy 2:15	Give diligence to present yourself approved by God, a workman who doesn’t need to be ashamed, properly handling the Word of Truth.
2 Timothy 2:16	But shun empty chatter, for it will go further in ungodliness,
2 Timothy 2:17	and those words will consume like gangrene, of whom is Hymenaeus and Philetus;
2 Timothy 2:18	men who have erred concerning the truth, saying that the resurrection is already past, and overthrowing the faith of some.
2 Timothy 2:19	However God’s firm foundation stands, having this seal, “The Lord knows those who are his,” and, “Let every one who names the name of the Lord depart from unrighteousness.”
2 Timothy 2:20	Now in a large house there are not only vessels of gold and of silver, but also of wood and of clay. Some are for honor, and some for dishonor.
2 Timothy 2:21	If anyone therefore purges himself from these, he will be a vessel for honor, sanctified, and suitable for the master’s use, prepared for every good work.
2 Timothy 2:22	Flee from youthful lusts; but pursue righteousness, faith, love, and peace with those who call on the Lord out of a pure heart.
2 Timothy 2:23	But refuse foolish and ignorant questionings, knowing that they generate strife.
2 Timothy 2:24	The Lord’s servant must not quarrel, but be gentle towards all, able to teach, patient,
2 Timothy 2:25	in gentleness correcting those who oppose him: perhaps God may give them repentance leading to a full knowledge of the truth,
2 Timothy 2:26	and they may recover themselves out of the devil’s snare, having been taken captive by him to his will.
2 Timothy 3:1	But know this, that in the last days, grievous times will come.
2 Timothy 3:2	For men will be lovers of self, lovers of money, boastful, arrogant, blasphemers, disobedient to parents, unthankful, unholy,
2 Timothy 3:3	without natural affection, unforgiving, slanderers, without self-control, fierce, no lovers of good,
2 Timothy 3:4	traitors, headstrong, conceited, lovers of pleasure rather than lovers of God;
2 Timothy 3:5	holding a form of godliness, but having denied its power. Turn away from these, also.
2 Timothy 3:6	For some of these are people who creep into houses, and take captive gullible women loaded down with sins, led away by various lusts,
2 Timothy 3:7	always learning, and never able to come to the knowledge of the truth.
2 Timothy 3:8	Even as Jannes and Jambres opposed Moses, so do these also oppose the truth; men corrupted in mind, who concerning the faith, are rejected.
2 Timothy 3:9	But they will proceed no further. For their folly will be evident to all men, as theirs also came to be.
2 Timothy 3:10	But you did follow my teaching, conduct, purpose, faith, patience, love, steadfastness,
2 Timothy 3:11	persecutions, and sufferings: those things that happened to me at Antioch, Iconium, and Lystra. I endured those persecutions. Out of them all the Lord delivered me.
2 Timothy 3:12	Yes, and all who desire to live godly in Christ Jesus will suffer persecution.
2 Timothy 3:13	But evil men and impostors will grow worse and worse, deceiving and being deceived.
2 Timothy 3:14	But you remain in the things which you have learned and have been assured of, knowing from whom you have learned them.
2 Timothy 3:15	From infancy, you have known the holy Scriptures which are able to make you wise for salvation through faith, which is in Christ Jesus.
2 Timothy 3:16	Every Scripture is God-breathed and profitable for teaching, for reproof, for correction, and for instruction in righteousness,
2 Timothy 3:17	that the man of God may be complete, thoroughly equipped for every good work.
2 Timothy 4:1	I command you therefore before God and the Lord Jesus Christ, who will judge the living and the dead at his appearing and his Kingdom:
2 Timothy 4:2	preach the word; be urgent in season and out of season; reprove, rebuke, and exhort, with all patience and teaching.
2 Timothy 4:3	For the time will come when they will not listen to the sound doctrine, but, having itching ears, will heap up for themselves teachers after their own lusts;
2 Timothy 4:4	and will turn away their ears from the truth, and turn aside to fables.
2 Timothy 4:5	But you be sober in all things, suffer hardship, do the work of an evangelist, and fulfill your ministry.
2 Timothy 4:6	For I am already being offered, and the time of my departure has come.
2 Timothy 4:7	I have fought the good fight. I have finished the course. I have kept the faith.
2 Timothy 4:8	From now on, there is stored up for me the crown of righteousness, which the Lord, the righteous judge, will give to me on that day; and not to me only, but also to all those who have loved his appearing.
2 Timothy 4:9	Be diligent to come to me soon,
2 Timothy 4:10	for Demas left me, having loved this present world, and went to Thessalonica; Crescens to Galatia, and Titus to Dalmatia.
2 Timothy 4:11	Only Luke is with me. Take Mark, and bring him with you, for he is useful to me for service.
2 Timothy 4:12	But I sent Tychicus to Ephesus.
2 Timothy 4:13	Bring the cloak that I left at Troas with Carpus when you come, and the books, especially the parchments.
2 Timothy 4:14	Alexander, the coppersmith, did much evil to me. The Lord will repay him according to his works,
2 Timothy 4:15	of whom you also must beware; for he greatly opposed our words.
2 Timothy 4:16	At my first defense, no one came to help me, but all left me. May it not be held against them.
2 Timothy 4:17	But the Lord stood by me, and strengthened me, that through me the message might be fully proclaimed, and that all the Gentiles might hear; and I was delivered out of the mouth of the lion.
2 Timothy 4:18	And the Lord will deliver me from every evil work, and will preserve me for his heavenly Kingdom; to whom be the glory forever and ever. Amen.
2 Timothy 4:19	Greet Prisca and Aquila, and the house of Onesiphorus.
2 Timothy 4:20	Erastus remained at Corinth, but I left Trophimus at Miletus sick.
2 Timothy 4:21	Be diligent to come before winter. Eubulus salutes you, as do Pudens, Linus, Claudia, and all the brothers.
2 Timothy 4:22	The Lord Jesus Christ be with your spirit. Grace be with you. Amen.
Titus 1:1	Paul, a servant of God, and an apostle of Jesus Christ, according to the faith of God’s chosen ones, and the knowledge of the truth which is according to godliness,
Titus 1:2	in hope of eternal life, which God, who can’t lie, promised before time began;
Titus 1:3	but in his own time revealed his word in the message with which I was entrusted according to the commandment of God our Savior;
Titus 1:4	to Titus, my true child according to a common faith: Grace, mercy, and peace from God the Father and the Lord Jesus Christ our Savior.
Titus 1:5	I left you in Crete for this reason, that you would set in order the things that were lacking, and appoint elders in every city, as I directed you;
Titus 1:6	if anyone is blameless, the husband of one wife, having children who believe, who are not accused of loose or unruly behavior.
Titus 1:7	For the overseer must be blameless, as God’s steward; not self-pleasing, not easily angered, not given to wine, not violent, not greedy for dishonest gain;
Titus 1:8	but given to hospitality, a lover of good, sober minded, fair, holy, self-controlled;
Titus 1:9	holding to the faithful word which is according to the teaching, that he may be able to exhort in the sound doctrine, and to convict those who contradict him.
Titus 1:10	For there are also many unruly men, vain talkers and deceivers, especially those of the circumcision,
Titus 1:11	whose mouths must be stopped; men who overthrow whole houses, teaching things which they ought not, for dishonest gain’s sake.
Titus 1:12	One of them, a prophet of their own, said, “Cretans are always liars, evil beasts, and idle gluttons.”
Titus 1:13	This testimony is true. For this cause, reprove them sharply, that they may be sound in the faith,
Titus 1:14	not paying attention to Jewish fables and commandments of men who turn away from the truth.
Titus 1:15	To the pure, all things are pure; but to those who are defiled and unbelieving, nothing is pure; but both their mind and their conscience are defiled.
Titus 1:16	They profess that they know God, but by their works they deny him, being abominable, disobedient, and unfit for any good work.
Titus 2:1	But say the things which fit sound doctrine,
Titus 2:2	that older men should be temperate, sensible, sober minded, sound in faith, in love, and in patience:
Titus 2:3	and that older women likewise be reverent in behavior, not slanderers nor enslaved to much wine, teachers of that which is good;
Titus 2:4	that they may train the young women to love their husbands, to love their children,
Titus 2:5	to be sober minded, chaste, workers at home, kind, being in subjection to their own husbands, that God’s word may not be blasphemed.
Titus 2:6	Likewise, exhort the younger men to be sober minded;
Titus 2:7	in all things showing yourself an example of good works; in your teaching showing integrity, seriousness, incorruptibility,
Titus 2:8	and soundness of speech that can’t be condemned; that he who opposes you may be ashamed, having no evil thing to say about us.
Titus 2:9	Exhort servants to be in subjection to their own masters, and to be well-pleasing in all things; not contradicting;
Titus 2:10	not stealing, but showing all good fidelity; that they may adorn the doctrine of God, our Savior, in all things.
Titus 2:11	For the grace of God has appeared, bringing salvation to all men,
Titus 2:12	instructing us to the intent that, denying ungodliness and worldly lusts, we would live soberly, righteously, and godly in this present world;
Titus 2:13	looking for the blessed hope and appearing of the glory of our great God and Savior, Jesus Christ;
Titus 2:14	who gave himself for us, that he might redeem us from all iniquity, and purify for himself a people for his own possession, zealous for good works.
Titus 2:15	Say these things and exhort and reprove with all authority. Let no man despise you.
Titus 3:1	Remind them to be in subjection to rulers and to authorities, to be obedient, to be ready for every good work,
Titus 3:2	to speak evil of no one, not to be contentious, to be gentle, showing all humility toward all men.
Titus 3:3	For we were also once foolish, disobedient, deceived, serving various lusts and pleasures, living in malice and envy, hateful, and hating one another.
Titus 3:4	But when the kindness of God our Savior and his love toward mankind appeared,
Titus 3:5	not by works of righteousness, which we did ourselves, but according to his mercy, he saved us, through the washing of regeneration and renewing by the Holy Spirit,
Titus 3:6	whom he poured out on us richly, through Jesus Christ our Savior;
Titus 3:7	that, being justified by his grace, we might be made heirs according to the hope of eternal life.
Titus 3:8	This saying is faithful, and concerning these things I desire that you affirm confidently, so that those who have believed God may be careful to maintain good works. These things are good and profitable to men;
Titus 3:9	but shun foolish questionings, genealogies, strife, and disputes about the law; for they are unprofitable and vain.
Titus 3:10	Avoid a factious man after a first and second warning;
Titus 3:11	knowing that such a one is perverted, and sins, being self-condemned.
Titus 3:12	When I send Artemas to you, or Tychicus, be diligent to come to me to Nicopolis, for I have determined to winter there.
Titus 3:13	Send Zenas, the lawyer, and Apollos on their journey speedily, that nothing may be lacking for them.
Titus 3:14	Let our people also learn to maintain good works for necessary uses, that they may not be unfruitful.
Titus 3:15	All who are with me greet you. Greet those who love us in faith. Grace be with you all. Amen.
Philemon 1:1	Paul, a prisoner of Christ Jesus, and Timothy our brother, to Philemon, our beloved fellow worker,
Philemon 1:2	to the beloved Apphia, to Archippus, our fellow soldier, and to the assembly in your house:
Philemon 1:3	Grace to you and peace from God our Father and the Lord Jesus Christ.
Philemon 1:4	I thank my God always, making mention of you in my prayers,
Philemon 1:5	hearing of your love, and of the faith which you have toward the Lord Jesus, and toward all the saints;
Philemon 1:6	that the fellowship of your faith may become effective, in the knowledge of every good thing which is in us in Christ Jesus.
Philemon 1:7	For we have much joy and comfort in your love, because the hearts of the saints have been refreshed through you, brother.
